author_adjlist,author_metis,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
4255820       ,7119        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,0
7656202       ,4945        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,0
783148        ,168         ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,0    ,0
3013640       ,6231        ,0       ,1       ,0             ,0      ,1      ,0       ,0       ,0    ,6
6874033       ,5882        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,0
8393179       ,7925        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,0    ,0
4386803       ,8128        ,0       ,1       ,1             ,1      ,1      ,0       ,1       ,1    ,0
3669096       ,1015        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,2
3670799       ,1333        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,0    ,1
1895611       ,7990        ,0       ,1       ,1             ,0      ,1      ,0       ,0       ,0    ,0
3240282       ,3405        ,0       ,0       ,1             ,0      ,0      ,1       ,1       ,0    ,1
2930390       ,7845        ,0       ,1       ,0             ,0      ,0      ,0       ,1       ,0    ,0
638317        ,2451        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,1    ,0
9042606       ,317         ,0       ,1       ,1             ,0      ,1      ,0       ,1       ,1    ,1
4515113       ,744         ,0       ,0       ,0             ,1      ,1      ,0       ,0       ,1    ,3
4564673       ,6784        ,0       ,1       ,1             ,1      ,1      ,0       ,1       ,1    ,1
9199286       ,4336        ,0       ,0       ,0             ,1      ,0      ,1       ,0       ,1    ,15
692575        ,2536        ,0       ,1       ,1             ,0      ,1      ,0       ,0       ,0    ,1
5969886       ,8159        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,0    ,1
345299        ,3526        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,3
345299        ,3526        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
