jobid,filename,file,mpi_size,code_version,runid,graph,metis_zero_based,tweets,stats,params,discount,corr,source_map,indir,outdir,features,sources,samples,epsilon,max_depth,max_nodes,sample_split,seed,command,topic,setuptime,cfeatures,csources,csamples,mae_retweet_probability,mae_mean_retweets,mape_retweet_probability,mape_mean_retweets,runtime,totaltime,nodes,mpiprocs,walltime,grid,opt
1348028,out-discount-neos_1348028.hawk-pbs5-20210902T1927.txt,/Users/ian/duck/hawk/propagation/out/discount-neos_1348028.hawk-pbs5/out-discount-neos_1348028.hawk-pbs5-20210902T1927.txt,1024,v0.2-36-g06ec3af,discount-neos_1348028.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,,,,,data,out/discount-neos_1348028.hawk-pbs5,1,50,100,0.01,,,1,192035041083161704255632182798364598403,learn_discount,neos,11.86548924446106,,,,,,,,220.9103534221649,235.7787404060364,8,,,,
1348029,out-corr-neos_1348029.hawk-pbs5-20210902T1931.txt,/Users/ian/duck/hawk/propagation/out/corr-neos_1348029.hawk-pbs5/out-corr-neos_1348029.hawk-pbs5-20210902T1931.txt,1024,v0.2-36-g06ec3af,corr-neos_1348029.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,,,,,data,out/corr-neos_1348029.hawk-pbs5,1,50,100,0.0001,,,1,5466785662189058784003993857982690282,learn_corr,neos,10.979686975479126,,,,,,,,239.90145111083984,252.8172492980957,8,,,,
1348033,out-val-learn-discount-fpoe_1348031.hawk-pbs5_1348033.hawk-pbs5-20210902T2011.txt,/Users/ian/duck/hawk/propagation/out/val-learn-discount-fpoe_1348031.hawk-pbs5_1348033.hawk-pbs5/out-val-learn-discount-fpoe_1348031.hawk-pbs5_1348033.hawk-pbs5-20210902T2011.txt,1024,v0.2-36-g06ec3af,val-learn-discount-fpoe_1348031.hawk-pbs5_1348033.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,out/discount-fpoe_1348031.hawk-pbs5/discount-fpoe-discount-fpoe_1348031.hawk-pbs5.csv,out/corr-fpoe_1348032.hawk-pbs5/corr-fpoe-corr-fpoe_1348032.hawk-pbs5.csv,,data,out/val-learn-discount-fpoe_1348031.hawk-pbs5_1348033.hawk-pbs5,1,256,1000,1.0,,,1,56733953752007812833432768137601475222,val,fpoe,25.9832501411438,132,256,1000,0.0006724461089103,0.8064462978287787,0.00142045170566,0.1622179811851309,121.03461861610413,151.31356930732727,8,,,,
1348031,out-discount-fpoe_1348031.hawk-pbs5-20210902T1942.txt,/Users/ian/duck/hawk/propagation/out/discount-fpoe_1348031.hawk-pbs5/out-discount-fpoe_1348031.hawk-pbs5-20210902T1942.txt,1024,v0.2-36-g06ec3af,discount-fpoe_1348031.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,,,,data,out/discount-fpoe_1348031.hawk-pbs5,1,50,100,0.01,,,1,235696870208521265779547604871709784440,learn_discount,fpoe,25.157516479492188,,,,,,,,1138.4763488769531,1167.9169454574585,8,,,,
1348032,out-corr-fpoe_1348032.hawk-pbs5-20210902T1949.txt,/Users/ian/duck/hawk/propagation/out/corr-fpoe_1348032.hawk-pbs5/out-corr-fpoe_1348032.hawk-pbs5-20210902T1949.txt,1024,v0.2-36-g06ec3af,corr-fpoe_1348032.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,,,,data,out/corr-fpoe_1348032.hawk-pbs5,1,50,100,0.0001,,,1,106063910185558255813283846022824024513,learn_corr,fpoe,25.155385494232178,,,,,,,,1207.136261701584,1236.6181528568268,8,,,,
1349513,out-val-learn-fpoe_1349513.hawk-pbs5-20210903T1747.txt,/Users/ian/duck/hawk/propagation/out/val-learn-fpoe_1349513.hawk-pbs5/out-val-learn-fpoe_1349513.hawk-pbs5-20210903T1747.txt,1024,v0.2-36-g06ec3af,val-learn-fpoe_1349513.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,data/discount-fpoe-1336748.hawk-pbs5.csv,data/corr-fpoe-1336749.hawk-pbs5.csv,,data,out/val-learn-fpoe_1349513.hawk-pbs5,1,256,1000,1.0,,,1,33124986438238820941212464907300211541,val,fpoe_20201110,22.736263751983643,132,256,1000,0.0007442242215707,0.8520061136456212,0.0015720732872359,0.1713824120528435,120.43971395492554,147.42072868347168,8,,,,
1349514,out-val-learn-fpoe_1349514.hawk-pbs5-20210903T1743.txt,/Users/ian/duck/hawk/propagation/out/val-learn-fpoe_1349514.hawk-pbs5/out-val-learn-fpoe_1349514.hawk-pbs5-20210903T1743.txt,128,v0.2-36-g06ec3af,val-learn-fpoe_1349514.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,data/discount-fpoe-1336748.hawk-pbs5.csv,data/corr-fpoe-1336749.hawk-pbs5.csv,,data,out/val-learn-fpoe_1349514.hawk-pbs5,1,256,1000,1.0,,,1,24676642118423693579759551057837073717,val,fpoe_20201110,0.6323192119598389,132,256,1000,0.0006749549472353,0.8303867884377327,0.0014257512882299,0.1670336497121264,478.8196804523468,483.84821677207947,1,,,,
1349548,out-val-learn-fpoe_1349548.hawk-pbs5-20210903T1831.txt,/Users/ian/duck/hawk/propagation/out/val-learn-fpoe_1349548.hawk-pbs5/out-val-learn-fpoe_1349548.hawk-pbs5-20210903T1831.txt,128,v0.2-36-g06ec3af,val-learn-fpoe_1349548.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,data/discount-fpoe-1336748.hawk-pbs5.csv,data/corr-fpoe-1336749.hawk-pbs5.csv,,data,out/val-learn-fpoe_1349548.hawk-pbs5,1,256,1000,1.0,,,1,198654866637642500549480162079184209930,val,fpoe_20201110,0.7297391891479492,132,256,1000,0.000649455700609,0.8211894538584829,0.0013718875690657,0.1651835909397729,465.8542828559876,470.8723821640015,1,,,,
1349550,out-val-opt-neos_1341840_1349550.hawk-pbs5-20210903T2143.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349550.hawk-pbs5/out-val-opt-neos_1341840_1349550.hawk-pbs5-20210903T2143.txt,1024,v0.2-37-g9665f46,val-opt-neos_1341840_1349550.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349550.hawk-pbs5,1,256,1000,1.0,,,1,111586636445937874536528720918804784214,val,neos_20201110,10.454261779785156,91,256,1000,0.0006306713756945,0.5955336698251862,0.0013565454978332,0.1659675966149324,23.080565452575684,36.02657675743103,8,,,,
1349551,out-val-opt-neos_1341840_1349551.hawk-pbs5-20210903T1831.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1349551.hawk-pbs5/out-val-opt-neos_1341840_1349551.hawk-pbs5-20210903T1831.txt,128,v0.2-36-g06ec3af,val-opt-neos_1341840_1349551.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1349551.hawk-pbs5,1,256,1000,1.0,,,1,62352636284325638215642725832977761951,val,neos_20201110,1.620396614074707,91,256,1000,0.0008167493164698,0.6285738801929223,0.001756790700855,0.1751754795344566,77.39700078964233,81.12891221046448,1,,,,
